step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
545.0,58,1219.0,15.628205128205128,1.516208789234288,12,1777.0,0.12071821728788483,18,2271.0,0.03205252645046707,15,1797.0,0.011631736102183715,13,1643.0,0.15404646858336263,58,7488.0
550.0,54,1161.0,14.69620253164557,2.076924465605081,13,1843.0,0.11825249399294673,15,2124.0,0.008665567871489789,17,1878.0,0.001772653058215661,9,1317.0,0.2658025517432782,54,7162.0
555.0,46,988.0,12.50632911392405,2.5458743093242533,10,1899.0,0.11495039310411406,11,1732.0,0.060120110530476036,19,1972.0,0.08715015976644627,6,1350.0,0.23445802919409492,46,6953.0
560.0,43,810.0,10.384615384615385,2.685253138163754,12,1952.0,0.11050255433849532,8,1775.0,0.0871301020487716,19,2067.0,0.12922750511444328,4,1372.0,0.11164466531245112,43,7166.0
565.0,49,848.0,11.45945945945946,1.4534976923489495,16,2025.0,0.04814593075124549,6,1806.0,0.0834970241949555,20,2164.0,0.02512086227177346,7,1402.0,0.05790803147809421,49,7397.0
570.0,56,921.0,12.445945945945946,0.9263867724653542,19,2114.0,0.0011311296342090822,8,1839.0,0.07517904504577139,19,2072.0,0.0571092922314826,10,1448.0,0.004327179099280294,56,7473.0
575.0,58,1013.0,13.68918918918919,1.2591306798716633,20,2214.0,0.07156837386022302,11,1887.0,0.08175618119545008,14,1774.0,0.09073253349961978,13,1514.0,0.0813183121855514,58,7389.0
580.0,56,1059.0,14.31081081081081,0.96553232768368,19,2303.0,0.07363764858928071,14,1949.0,0.0009723069267477626,8,1812.0,0.08100577148800801,15,1583.0,0.0026643321693795496,56,7647.0
585.0,53,1100.0,14.666666666666666,1.822883510228161,19,2398.0,0.03405405824916793,15,2024.0,0.06255286261853645,6,1826.0,0.19917900466013455,13,1440.0,0.08074041096376457,53,7688.0
590.0,45,1010.0,13.289473684210526,2.521021614194555,16,2227.0,0.010671811328985054,15,2099.0,0.11344395969022097,6,1855.0,0.20433301142879917,8,1089.0,0.09430200414812893,45,7270.0
595.0,42,956.0,12.415584415584416,2.550601073459247,12,1877.0,0.11608451447657414,15,2176.0,0.11933479907349277,10,1896.0,0.10935732651492842,5,1121.0,0.10300444118746083,42,7070.0
600.0,44,885.0,11.95945945945946,1.7284516379906631,8,1924.0,0.13820850927845885,17,2256.0,0.0007957460250821153,15,1958.0,0.01150038246742941,4,1143.0,0.20907521639960172,44,7281.0
605.0,48,827.0,11.32876712328767,1.390690235246284,8,1964.0,0.07088756838737503,15,2099.0,0.06771937769234752,18,2039.0,0.009809824784396314,7,1174.0,0.1681223518559071,48,7276.0
610.0,48,748.0,10.108108108108109,1.8463596184131335,8,2004.0,0.07367124372686612,10,1685.0,0.22181231448556835,19,2131.0,0.00015030846500422654,11,1220.0,0.01855311182860786,48,7040.0
615.0,49,738.0,9.84,2.0303209264964583,12,2058.0,0.03896948325145691,8,1729.0,0.19673813036023,16,2022.0,0.013968405805939737,13,1280.0,0.07834464356681163,49,7089.0
620.0,45,656.0,8.864864864864865,2.3114949528517807,15,2114.0,0.05379042789156976,6,1763.0,0.08785658198976638,11,1697.0,0.07580701294681809,13,1345.0,0.21367926632894277,45,6919.0
625.0,48,758.0,10.383561643835616,1.7167350226370246,17,2196.0,0.04855954638556172,8,1799.0,0.06456102788072608,8,1747.0,0.12683214563734396,15,1413.0,0.10993795864844041,48,7155.0
630.0,56,918.0,12.929577464788732,0.7254586278546615,20,2293.0,2.2406486224882387e-05,11,1850.0,0.01060369144620016,8,1785.0,0.1389414645738009,17,1494.0,0.021808305753244744,56,7422.0
