step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
1225.0,7,24.0,0.6153846153846154,3.7597280389139645,7,163.0,0.2460339407454166,7,163.0,False,,
1230.0,4,10.0,0.23809523809523808,4.624069569610357,4,124.0,0.26801893371847624,4,124.0,False,,
1235.0,5,12.0,0.27906976744186046,4.103533595216965,5,142.0,0.17368308038452226,5,142.0,False,,
1240.0,9,44.0,1.0,4.048855150935595,9,177.0,0.10656567382907564,9,177.0,False,,
1245.0,10,42.0,1.0,4.062351791299069,10,186.0,0.1778152764642524,10,186.0,False,,
1250.0,8,26.0,0.5777777777777777,4.839744905817185,8,152.0,0.2176033879331151,8,152.0,False,,
1255.0,6,13.0,0.3023255813953488,5.183683755158173,6,165.0,0.23041263586413982,6,165.0,False,,
1260.0,9,30.0,0.6818181818181818,4.742138687716412,9,203.0,0.22198422884938698,9,203.0,False,,
1265.0,9,30.0,0.75,4.084689082486139,9,204.0,0.20874851807368427,9,204.0,False,,
1270.0,4,9.0,0.21951219512195122,4.382826223544787,4,158.0,0.1664410567597637,4,158.0,False,,
1275.0,5,17.0,0.4146341463414634,5.669219031956422,5,107.0,0.19347799271978378,5,107.0,False,,
1280.0,6,35.0,0.875,7.14298269185651,6,88.0,0.33418870976183823,6,88.0,False,,
1285.0,5,53.0,1.5142857142857142,8.32896031659996,5,83.0,0.44406115434636334,5,83.0,False,,
1290.0,5,78.0,2.108108108108108,9.080517324706413,5,89.0,0.5332798981483632,5,89.0,False,,
1295.0,6,105.0,2.9166666666666665,8.690350682835385,6,111.0,0.5367610607697041,6,111.0,False,,
1300.0,7,138.0,3.6315789473684212,8.122945566925154,7,138.0,0.4419981627318149,7,138.0,False,,
1305.0,9,180.0,4.864864864864865,7.937582747218997,9,180.0,0.4421871458544798,9,180.0,False,,
